date,k18,k21,k22,traditional
2026-06-29,325,380,400,245
2026-06-30,315,365,385,235
2026-07-01,315,365,385,235
2026-07-02,335,390,410,225
2026-07-03,345,400,420,260
2026-07-04,345,400,420,260
2026-07-05,345,400,420,260
2026-07-06,345,400,420,260
2026-07-07,345,400,420,260
2026-07-08,345,400,420,260
2026-07-09,325,375,395,245
2026-07-10,335,390,405,250
2026-07-11,335,390,405,250
2026-07-12,335,390,405,250
2026-07-13,325,375,395,245
2026-07-14,325,375,395,245
2026-07-15,325,375,395,245
2026-07-16,325,375,395,245
2026-07-17,325,375,395,245
2026-07-18,325,375,395,245
2026-07-19,325,375,395,245
2026-07-20,325,375,395,245
2026-07-21,325,375,395,245
2026-07-22,335,390,410,255
2026-07-23,335,390,410,255
2026-07-24,325,375,395,245
2026-07-25,325,375,395,245
2026-07-26,325,375,395,245
2026-07-27,335,380,400,255
2026-07-28,325,375,395,245
2026-07-29,325,375,395,245
2026-07-30,325,375,395,245
2026-07-31,325,375,395,245
2026-08-01,325,375,395,245
2026-08-02,325,375,395,245
2026-08-03,325,375,395,245
2026-08-04,325,375,395,245
2026-08-05,325,375,395,245
2026-08-06,345,400,420,260
2026-08-07,345,400,420,260
2026-08-08,345,400,420,260
2026-08-09,345,400,420,260
2026-08-10,345,400,420,260
2026-08-11,360,415,435,270
2026-08-12,360,415,435,270
2026-08-13,360,415,435,270
2026-08-14,360,415,435,270
2026-08-15,360,415,435,270
2026-08-16,360,415,435,270
